symboling,normalized_losses,make,fuel_type,aspiration,num_of_doors,body-style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression-ratio,horsepower,peak_rpm,city_L/100km,highway_L/100km,price,horsepower-binned,fuel-type-diesel,fuel-type-gas
3,122,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.4134328358208958,0.32478632478632447,0.08333333333333333,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,11.19047619047619,8.703703703703704,13495.0,Low,False,True
3,122,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.4134328358208958,0.32478632478632447,0.08333333333333333,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,11.19047619047619,8.703703703703704,16500.0,Low,False,True
1,122,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,0.4492537313432835,0.4444444444444446,0.38333333333333347,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000.0,12.368421052631579,9.038461538461538,16500.0,Medium,False,True
2,164,audi,gas,std,four,sedan,fwd,front,99.8,0.5298507462686567,0.5042735042735046,0.5416666666666666,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102.0,5500.0,9.791666666666666,7.833333333333333,13950.0,Low,False,True
2,164,audi,gas,std,four,sedan,4wd,front,99.4,0.5298507462686567,0.521367521367522,0.5416666666666666,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115.0,5500.0,13.055555555555555,10.681818181818182,17450.0,Low,False,True
2,122,audi,gas,std,two,sedan,fwd,front,99.8,0.5402985074626868,0.5128205128205127,0.44166666666666704,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,12.368421052631579,9.4,15250.0,Low,False,True
1,158,audi,gas,std,four,sedan,fwd,front,105.8,0.7701492537313432,0.9487179487179492,0.6583333333333338,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,12.368421052631579,9.4,17710.0,Low,False,True
1,122,audi,gas,std,four,wagon,fwd,front,105.8,0.7701492537313432,0.9487179487179492,0.6583333333333338,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,12.368421052631579,9.4,18920.0,Low,False,True
1,158,audi,gas,turbo,four,sedan,fwd,front,105.8,0.7701492537313432,0.9487179487179492,0.6750000000000002,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140.0,5500.0,13.823529411764707,11.75,23875.0,Medium,False,True
2,192,bmw,gas,std,two,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,0.5416666666666666,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,10.217391304347826,8.10344827586207,16430.0,Low,False,True
0,192,bmw,gas,std,four,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,0.5416666666666666,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,10.217391304347826,8.10344827586207,16925.0,Low,False,True
0,188,bmw,gas,std,two,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,0.5416666666666666,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,11.19047619047619,8.392857142857142,20970.0,Medium,False,True
0,188,bmw,gas,std,four,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,0.5416666666666666,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,11.19047619047619,8.392857142857142,21105.0,Medium,False,True
1,122,bmw,gas,std,four,sedan,rwd,front,103.5,0.7149253731343285,0.5641025641025647,0.6583333333333338,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,11.75,9.4,24565.0,Medium,False,True
0,122,bmw,gas,std,four,sedan,rwd,front,103.5,0.7149253731343285,0.5641025641025647,0.6583333333333338,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,14.6875,10.681818181818182,30760.0,Medium,False,True
0,122,bmw,gas,std,two,sedan,rwd,front,103.5,0.7865671641791048,0.6495726495726502,0.49166666666666714,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,14.6875,10.681818181818182,41315.0,Medium,False,True
0,122,bmw,gas,std,four,sedan,rwd,front,110.0,0.8343283582089553,0.9059829059829065,0.7083333333333334,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,15.666666666666666,11.75,36880.0,Medium,False,True
2,121,chevrolet,gas,std,two,hatchback,fwd,front,88.4,0.0,0.0,0.45000000000000046,1488,l,three,61,2bbl,2.91,3.03,9.5,48.0,5100.0,5.0,4.433962264150943,5151.0,Low,False,True
1,98,chevrolet,gas,std,two,hatchback,fwd,front,94.5,0.22089552238805987,0.2820512820512823,0.35000000000000026,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,6.184210526315789,5.465116279069767,6295.0,Low,False,True
0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,0.26417910447761217,0.2820512820512823,0.35000000000000026,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,6.184210526315789,5.465116279069767,6575.0,Low,False,True
1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.2991452991452991,0.25,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68.0,5500.0,6.351351351351352,5.7317073170731705,5572.0,Low,False,True
1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.2991452991452991,0.25,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,6.184210526315789,6377.0,Low,False,True
1,118,dodge,gas,turbo,two,hatchback,fwd,front,93.7,0.24179104477611965,0.2991452991452991,0.25,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,9.791666666666666,7.833333333333333,7957.0,Low,False,True
1,148,dodge,gas,std,four,hatchback,fwd,front,93.7,0.24179104477611965,0.2991452991452991,0.2333333333333337,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,6.184210526315789,6229.0,Low,False,True
1,148,dodge,gas,std,four,sedan,fwd,front,93.7,0.24179104477611965,0.2991452991452991,0.2333333333333337,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,6.184210526315789,6692.0,Low,False,True
1,148,dodge,gas,std,four,sedan,fwd,front,93.7,0.24179104477611965,0.2991452991452991,0.2333333333333337,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,6.184210526315789,7609.0,Low,False,True
1,148,dodge,gas,turbo,four,sedan,fwd,front,93.7,0.24179104477611965,0.2991452991452991,0.2333333333333337,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,9.791666666666666,7.833333333333333,8558.0,Low,False,True
